Theme Id,Theme Name,Definition,Keywords,Status,Objective Count,Original Statements
,,,,,,41121 | To get Aryan Kumar admitted to school | 0.7141
,,,,,,41122 | To get Aryan Kumar admitted to school | 0.7141
,,,,,,41123 | To enroll Akriti Kumari in school and ensure she receives an education despite her family's financial struggles | 0.8549
,,,,,,41159 | To ensure Sapna Kumari attends school by explaining the importance of education to her parents | 0.8488
,,,,,,28577 | To encourage Pooja Kumari to continue her studies after she had dropped out due to poor financial condition and academic performance | 0.7749
,,,,,,41188 | To help Priyanka continue her studies by finding a solution to the problem of the school being far away | 0.619
,,,,,,28578 | To continue Renu's education | 0.6277
,,,,,,41207 | To encourage Samanti to continue her education | 0.7619
,,,,,,41208 | To motivate Phool Kumari Devi and her daughter-in-law Karishma Kumari to understand the importance of education | 0.7935
,,,,,,41209 | To help Asha Kumari get back to school after she dropped out due to financial constraints | 0.7872
,,,,,,41210 | To improve Sunita's education | 0.6324
,,,,,,28579 | To educate Renu till Intermediate | 0.6315
,,,,,,41217 | To help Sunita get admitted to school by obtaining her birth certificate | 0.5973
,,,,,,41223 | To educate Anjali Kumari about the importance of education | 0.8115
,,,,,,41224 | To make Nirmala understand the importance of education | 0.6324
,,,,,,28580 | To bring Chanchal back to school and continue her studies | 0.6594
,,,,,,41244 | To help Mansi Kumari get enrolled in a school despite not having the required proof of residence | 0.7011
,,,,,,41260 | To get Preeti Kumari to pursue further studies | 0.7404
,,,,,,28583 | Preeti Kumari | 0.5247
,,,,,,41270 | To educate Kajal | 0.6156
,,,,,,41273 | To enroll Kanchan in class 6th and encourage her to continue her studies | 0.6782
,,,,,,41274 | To enroll Anjali Kumari in school | 0.775
,,,,,,41276 | To get Raveena back to school | 0.4738
,,,,,,40521 | To help Anjali and her sisters get an education despite their poor financial condition and lack of support after their parents' death. | 0.6603
,,,,,,40522 | To educate Savita Kumari about the importance of education and encourage her to pursue her studies | 0.8693
,,,,,,40524 | To empower Preeti Kumari and her family by providing access to education and overcoming the barrier of lack of certificates | 0.8275
,,,,,,40528 | Rima had left studies after studying till class six | 0.5055
,,,,,,41286 | To educate Ranju Kumari and help her stand on her own feet | 0.7272
,,,,,,40530 | To continue Nisha Kumari's education | 0.8021
,,,,,,41293 | To educate Kunti Kumari till 12th class | 0.7834
,,,,,,40538 | To help Sakina resume her studies and complete her education | 0.6977
,,,,,,41297 | To convince Anjali Kumari's parents of the importance of education and encourage her to continue her studies. | 0.8597
,,,,,,40542 | To get Sunita Kumari admitted in Kasturba Vidyalaya | 0.7043
,,,,,,41302 | To ensure Pooja Kumari resumes her studies and completes her education | 0.7989
,,,,,,40546 | To support Pooja Kumari in pursuing her further studies | 0.7634
,,,,,,40550 | To help Preeti Kumari get education and empower her community | 0.843
,,,,,,40553 | To help Sonali Kumari continue her education by enrolling her in Kasturba Vidyalaya | 0.8129
,,,,,,41315 | To enroll Nitya Kumari in class one | 0.7668
,,,,,,40555 | To encourage Pinky | 0.3268
,,,,,,40557 | To educate Kajal Kumari and her family about the importance of education | 0.8473
,,,,,,40558 | To help Pushpa Kumari resume her studies after failing in matriculation | 0.7258
,,,,,,41320 | To enroll Avshita Kumari in school by making her parents aware of the importance of education | 0.8378
,,,,,,41342 | To solve the problem of Kavita | 0.3417
,,,,,,41374 | To ensure Kajal Kumari completes her education despite her parents' poor financial condition | 0.7616
,,,,,,41381 | To re-enroll Chandrakala in school and promote education in her community | 0.744
,,,,,,41383 | To enroll Madhuri in school and promote education in the Majhi community | 0.6923
,,,,,,"41384 | To enroll Anushka Kumari, a 7-year-old girl from a Maji community, in school and promote education in her community | 0.7749"
,,,,,,15514 | No | 0.0935
,,,,,,41389 | To enroll Munni Kumari in school and promote education in the Musahar community | 0.7151
,,,,,,41412 | To enroll Sunaina Kumari back in school and improve her future prospects | 0.8197
,,,,,,41415 | To educate Manchana Kumari and ensure she has a better future | 0.8128
,,,,,,41417 | To help Sunil Kumar | 0.6453
,,,,,,41418 | To help Rajanandini get enrolled in school despite the lack of a school transfer certificate | 0.5228
,,,,,,41434 | To motivate Poonam Kumari to pursue education and pass the matriculation examination | 0.7305
,,,,,,41438 | To improve Priyankas education by enrolling her in school | 0.7127
,,,,,,41439 | Gudiya had failed in matriculation | 0.3725
,,,,,,41445 | To educate Meena Devi | 0.5871
,,,,,,41446 | To enroll Madhuri Kumari in school | 0.7859
,,,,,,41455 | To support Sudhaa Kumaris education and empower her through community involvement. | 0.8179
,,,,,,41481 | To inspire Mala Kumari to resume her studies and understand the importance of education | 0.8578
,,,,,,41494 | To educate Sanwali Kumari and other children in the community despite poverty | 0.7442
,,,,,,41515 | To enroll Sukriti Kumari in school | 0.7719
,,,,,,28628 | To educate Madhu Kumari and other children in the village about the importance of education | 0.7876
,,,,,,48924 | To enroll Sonakshi Kumari in school and create a conducive environment for studies in her community | 0.7972
,,,,,,48921 | To enroll Roshni in school | 0.5448
,,,,,,48957 | To enroll Neetu Kumari in school and ensure she attends daily | 0.8224
,,,,,,28590 | To encourage Priya Kumari to return to school and emphasize the importance of education | 0.8453
,,,,,,28631 | To educate Anu Kumari and other children in the village about the importance of education | 0.7832
,,,,,,14942 | To help Neha Kumari | 0.6978
,,,,,,14966 | To educate girls till 12th class | 0.6234
,,,,,,16480 | To educate Asha Kumari and improve the financial condition of her family | 0.8175
,,,,,,15419 | To make Rohi Kumari aware about the importance of studies and encourage her to continue her education | 0.8671
,,,,,,28711 | To motivate Anjali Kumari to attend school regularly and improve her studies | 0.8427
,,,,,,3924 | To educate girls at least till 12th standard and delay their marriage till 18 years | 0.6423
,,,,,,4114 | To empower Soni Kumari to join Bihar Police by convincing her parents and providing support | 0.6568
,,,,,,10775 | To educate girls at least till 12th standard and encourage them to continue their studies while doing household chores | 0.6634
,,,,,,3987 | To ensure all girls in the village receive education up to 12th standard | 0.6355
,,,,,,3927 | To bring back Ragini to school | 0.4667
,,,,,,4056 | To educate Archana Kumari and postpone her marriage | 0.7646
,,,,,,16514 | To educate Khushboo and make her self-reliant | 0.5784
,,,,,,28963 | To re-enroll Pikal Kumari in school after she dropped out due to illness | 0.6744
,,,,,,7433 | Rupa Kumari | 0.5364
,,,,,,28775 | To help Ananya continue her studies | 0.6656
,,,,,,9371 | To educate girls at least till 12th class and provide full support to overcome any shortcomings | 0.6454
,,,,,,28776 | To help Pinky Kumari continue her education despite household chores and financial hardship | 0.8227
,,,,,,15020 | To encourage Rabita Kumari to continue her education and inspire other teenagers in the village to do the same | 0.8023
,,,,,,15043 | To encourage Sujit Kumari to continue her education | 0.8554
,,,,,,15421 | To encourage Amala Kumari to attend school and receive an education | 0.8844
,,,,,,15065 | To encourage Anu Kumari to pursue her education and become independent | 0.846
,,,,,,15084 | To help Rukhsana Khatoon get admission in class 6 | 0.6411
,,,,,,15094 | To encourage Nikki Kumari to attend school and help her parents understand the importance of education | 0.8405
,,,,,,15093 | To encourage Anjali Kumari to continue her education | 0.8567
,,,,,,15121 | To educate Asha by motivating her mother to send her to school | 0.6821
,,,,,,4206 | To raise awareness about the issue of feticide in Lalgarh and to prevent it from happening | 0.2773
,,,,,,15124 | To educate Hemant Kumari and other children in the village | 0.7386
,,,,,,15139 | To help Maneka and Aanchal Kumari resume their education after a two-year gap due to poverty and lack of access to schools | 0.7037
,,,,,,15173 | To help Anjali Kumari's parents understand the importance of education | 0.7887
,,,,,,15163 | To help Anshu Kumari continue her education | 0.8482
,,,,,,15172 | To educate Anjali Kumari | 0.7978
,,,,,,15174 | To convince Usha Kumari to continue her studies | 0.813
,,,,,,15169 | To convince Alka Kumari to return to school by opening a bank account for her | 0.7461
,,,,,,15176 | To convince Anjali's parents to let her continue her education beyond 8th standard | 0.653
,,,,,,15194 | To provide education to Kranti Kumari and ensure she attends school every day | 0.8851
,,,,,,15225 | To educate Seba Khatun and her sisters | 0.6547
,,,,,,28802 | To help Pinky Kumari go to school | 0.7875
,,,,,,15234 | To revive Kavita Kumari | 0.5888
,,,,,,15240 | To ensure Kishan attends school regularly and studies well | 0.6436
,,,,,,15233 | To convince Rita Kumari's parents to support her education and encourage her to go back to school | 0.7866
,,,,,,4173 | To ensure girls are educated till 12th standard and not married at a young age | 0.6211
,,,,,,15252 | To continue Anjali Kumari's education | 0.7915
,,,,,,15256 | To help Karishma go to school | 0.606
,,,,,,15021 | To encourage Neha Kumari to continue her education by motivating her parents and providing support | 0.8527
,,,,,,15311 | To help Aarti Kumari get enrolled in school by obtaining a birth certificate | 0.7679
,,,,,,28809 | To educate Pinky Kumari till Intermediate | 0.7925
,,,,,,15476 | To persuade Muskan Kumari to continue her education | 0.7946
,,,,,,28810 | To help Soni continue her education | 0.7802
,,,,,,15057 | To educate Sanjana Kumari and help her complete her studies | 0.8656
,,,,,,15066 | To educate Kusum Kumari and her mother about the importance of education | 0.8418
,,,,,,15067 | To motivate Baby Kumari to continue her education and understand its importance for her future | 0.8569
,,,,,,15149 | To educate Nisha Kumari who had to leave her studies after eighth grade due to financial constraints and her advanced age. | 0.83
,,,,,,15126 | To encourage Nidhi Kumari to attend school and help her parents understand the importance of education | 0.8583
,,,,,,15141 | To educate Chanda about the importance of attending school and to convince her family to allow her to attend school regularly | 0.7459
,,,,,,15159 | To empower Reshma Kumari to pursue her education and overcome the obstacles that were preventing her from doing so | 0.8088
,,,,,,15170 | To empower Sanju Devi and improve her economic situation through skill development and education | 0.6562
,,,,,,15157 | To re-enroll Suman Kumari in school after her name was removed due to her temporary stay at her maternal home | 0.7436
,,,,,,15177 | To ensure Supriya Kumari attends school regularly and understands the importance of education | 0.8233
,,,,,,15224 | To support Chandni Kumari in continuing her education after a month-long absence from school due to health issues | 0.7655
,,,,,,15232 | To encourage Lakshmi Kumari to continue her education | 0.8472
,,,,,,15220 | To ensure Sarita completes her education and becomes self-reliant | 0.643
,,,,,,15255 | To bring Karishma back to school | 0.571
,,,,,,15327 | To enroll Kajal Kumari in school and ensure she attends regularly | 0.8443
,,,,,,6907 | To educate children till the age of 12th | 0.6343
,,,,,,15335 | To get Asha Kumari admitted in 9th standard | 0.6667
,,,,,,15064 | To educate Anu Kumari about the importance of education | 0.8082
,,,,,,4152 | To help Shivani continue her education | 0.7369
,,,,,,3981 | To help Sangeeta continue her education despite her family | 0.678
,,,,,,4004 | To help Divya Kumari continue her education beyond 8th standard | 0.804
,,,,,,3966 | To help Firdaus Jahaan resume her studies after marriage and inspire other girls in the community to do the same | 0.7144
,,,,,,15357 | To support Ranju Kumari | 0.6105
,,,,,,15686 | To help Gudiya Tendu understand the importance of education and attend school regularly | 0.7278
,,,,,,15353 | To inspire Rani Kumari to continue her education and understand its importance for her future | 0.8248
,,,,,,15355 | To encourage Richa Kumari to attend school and support her education | 0.8848
,,,,,,15350 | To convince Kareena Kumari | 0.6435
,,,,,,28998 | To help Anita Kumari resume her studies after failing in matriculation by providing her with coaching and convincing her parents of the importance of education | 0.8048
,,,,,,5657 | To send boys and girls to school every day and marry them only after they pass 12th standard | 0.5688
,,,,,,16336 | To help Khushi understand the importance of education and attend school regularly | 0.6552
,,,,,,15158 | To encourage Pooja Kumari to continue her education | 0.8565
,,,,,,15180 | To help Anjali attend school by convincing her parents of the importance of education | 0.7585
,,,,,,4109 | To empower Deepa Kumari through education and make her aware of her rights | 0.7878
,,,,,,"15268 | To motivate and support Rahisa Khatoon in pursuing her education, overcoming her fear and reluctance to study after failing matriculation. | 0.6744"
,,,,,,15271 | To persuade Kankshi Priya | 0.5446
,,,,,,15280 | To educate Preeti Kumari and her community about the benefits of government schools over private schools | 0.7742
,,,,,,15287 | To get Riya | 0.4598
,,,,,,"15299 | Shobha did not want to study in class 11, but after meeting with her parents and being informed about the benefits of education, she decided to continue her studies. | 0.6037"
,,,,,,29005 | To educate Sneha Kumari at least till 12th grade | 0.7732
,,,,,,15308 | To educate Ruby Kumari and emphasize the importance of education over early marriage | 0.7079
,,,,,,15309 | To encourage Raveena to continue her education after failing in the intermediate examination | 0.6003
,,,,,,15318 | To educate Diwan Kumar and make him aware of the importance of education | 0.767
,,,,,,15323 | To help Kavita Kumari attend school regularly by resolving the issue with her age and admission | 0.8551
,,,,,,15321 | To help Komal Kumari continue her education after missing school for a month due to health issues | 0.788
,,,,,,29099 | To educate Khushboo Kumari till the intermediate level | 0.7796
,,,,,,15341 | To encourage and support Kavita Kumari in re-attempting her matriculation exam and pursuing further studies | 0.7643
,,,,,,15340 | To get Mala Kumari enrolled in class 6 | 0.7294
,,,,,,15346 | To help Shivani Kumari attend school despite her mother's illness | 0.7685
,,,,,,15349 | To help Megha Kumari return to school and continue her education | 0.8388
,,,,,,15348 | To educate Roshni Kumari further by enrolling her in Kasturba Vidyalaya | 0.8084
,,,,,,15368 | To educate Tamanna and support her family | 0.6089
,,,,,,4082 | To provide education to Neha by enrolling her in Kasturba Vidyalaya | 0.7514
,,,,,,3976 | To help Baby Kumari get admitted to school and continue her education | 0.9008
,,,,,,28847 | To educate Shakuntala Kumari and empower her through education | 0.8598
,,,,,,29102 | To correct Rupa | 0.3015
,,,,,,15420 | To help Sanju Kumari develop interest in studies and pursue her education | 0.8407
,,,,,,15448 | To help Komal Kumari understand the importance of education and encourage her to attend school | 0.8875
,,,,,,15457 | To encourage Rupali Kumari to attend school by educating her parents about the importance of education | 0.8627
,,,,,,15481 | To help Shivani Kumari continue her education | 0.8706
,,,,,,15272 | Helping Babita Kumari continue her education despite health issues | 0.712
,,,,,,29105 | To motivate Soni Kumari to complete her 12th education | 0.8434
,,,,,,15668 | To educate Sonam Kumari and make her understand the importance of education | 0.8854
,,,,,,15683 | To educate Priyanshu Kumari and her parents about the importance of education and encourage her to return to school | 0.8748
,,,,,,15689 | To ensure Kanchan Kumari continues her education | 0.8414
,,,,,,15720 | To ensure Shivani and Shivangi attend school regularly | 0.6582
,,,,,,16041 | To educate girls at least till 12th standard | 0.634
,,,,,,16134 | To educate Sandhya and her community about the importance of education and encourage her to attend school | 0.7281
,,,,,,28883 | To educate Nandini | 0.4913
,,,,,,28884 | To send Chandni Kumari to school and ensure she receives an education | 0.8388
,,,,,,18882 | To enroll children in Kasturba School and provide them with necessary facilities | 0.561
,,,,,,16251 | To empower Indu Kumari through education and help her overcome financial poverty | 0.8297
,,,,,,16266 | To help Kavita Kumari continue her education | 0.872
,,,,,,29214 | To help Priyanshu Kumari | 0.6974
,,,,,,16305 | To educate Viranti Kumari and help her complete her studies | 0.8702
,,,,,,16318 | To educate girls till 12th standard and make them aware of the benefits of education | 0.6807
,,,,,,16301 | To get Priya back in school | 0.5758
,,,,,,16286 | To educate Gudiya | 0.6238
,,,,,,15125 | To encourage Rita to return to school and continue her education | 0.6246
,,,,,,4070 | To empower Sudha Kumari through education and postpone her marriage | 0.8252
,,,,,,29035 | To help Sunita Kumari continue her studies | 0.7828
,,,,,,15300 | To ensure Jabila can attend school despite her family | 0.6499
,,,,,,29036 | To encourage Nandini Kumari to pursue her studies | 0.7287
,,,,,,3986 | To enroll Khushboo Kumari in 10th grade despite financial constraints | 0.6871
,,,,,,29267 | To help Khushi Kumari get enrolled in school by obtaining a birth certificate | 0.7675
,,,,,,3964 | To help Nishi Kumari get admission | 0.7281
,,,,,,29038 | To encourage Anu Kumari to continue her studies | 0.824
,,,,,,15755 | To help Kusum Kumari return to school after dropping out due to her father | 0.7476
,,,,,,4305 | To educate Priyanka and support her family in overcoming financial difficulties | 0.6355
,,,,,,16045 | To educate Radha Kumari till 12th standard | 0.7696
,,,,,,14906 | To educate Sirishti Kumari despite financial poverty | 0.7766
,,,,,,4228 | To educate Ragini Kumari and ensure she receives her rightful reservations and opportunities despite being a child bride and having a disability | 0.7417
,,,,,,4283 | To educate girls till 12th standard and stop child marriage | 0.63
,,,,,,14904 | To educate Sunita Kumari and help her become something by studying despite financial poverty | 0.8332
,,,,,,15297 | To improve Sona's education | 0.6463
,,,,,,15288 | To resolve the issue of Neha Parveen not getting a chance to study further after failing her matriculation examination | 0.5946
