Theme Id,Theme Name,Definition,Keywords,Status,Objective Count,Original Statements
550e8400-e29b-41d4-a716-446655440002,Legal Document linked Barriers,"This theme includes responses where children are unable to enroll in school due to missing or incomplete legal documents such as Aadhaar cards, birth certificates, or identity proofs. It captures how lack of proper documentation creates administrative hurdles that keep children out of the education system.","No Aadhar card,no birth certificate,lack of Aadhar card,no ID,no legal document,enrollment barriers due to no Aadhar card",approved,279,16282 | To get Ravindra Kumar enrolled in school by obtaining his Aadhar card | 0.6535
,,,,,,"41555 | To improve access to education for children by facilitating the creation of birth certificates and Aadhar cards, thereby addressing the issue of lack of identification documents hindering enrollment. | 0.8021"
,,,,,,"40562 | To facilitate the creation of Aadhaar cards for 20-30 Mahadalit children, enabling them to receive educational benefits | 0.7737"
,,,,,,40570 | To enroll Anushka Kumari in school despite lack of Aadhar card | 0.709
,,,,,,40590 | To enroll children in school by obtaining Aadhaar cards for their parents | 0.8518
,,,,,,40593 | To help children get enrolled in 9th standard by obtaining Aadhaar cards | 0.7496
,,,,,,"41602 | To solve the problem of lack of Aadhaar card and birth certificate, which was preventing the girls from getting admission in school. | 0.7793"
,,,,,,41604 | To increase school enrollment by encouraging parents to obtain Aadhaar cards for their children | 0.844
,,,,,,40596 | To enroll Chanda Kumari in school by obtaining her Aadhaar card and motivating her parents | 0.6722
,,,,,,"41610 | To enroll children in school by obtaining Aadhar cards for them, addressing the issue of lack of admission due to missing Aadhar cards | 0.9042"
,,,,,,41614 | To facilitate school enrollment by obtaining Aadhar cards for children | 0.8964
,,,,,,41617 | To correct date of birth errors and facilitate Aadhar card issuance for children in the community | 0.6936
,,,,,,41618 | To help children receive ration at the Aagin Vani Kendra by obtaining their Aadhaar cards and mobile numbers | 0.6747
,,,,,,40611 | To improve education in Bihar by making Aadhar cards for children | 0.8278
,,,,,,41626 | To help Kiran Kumari get admission to school by making her Aadhar card and resolving the issues related to her admission | 0.686
,,,,,,41631 | To help Seema Kumari get admission in school by making her Aadhar card | 0.6919
,,,,,,40619 | To help children get admitted to school by obtaining necessary documents like Aadhar cards and birth certificates | 0.8135
,,,,,,41635 | To improve access to education by facilitating the creation of birth certificates and Aadhar cards for children | 0.8084
,,,,,,"40622 | To ensure children can attend school by obtaining Aadhar cards, addressing the issue of lack of admission due to missing Aadhar cards | 0.8992"
,,,,,,41660 | To ensure children receive their rights by obtaining an Aadhar card | 0.7849
,,,,,,41662 | To enroll children in school by facilitating Aadhar card creation for their parents | 0.8726
,,,,,,"41663 | To ensure that all children can enroll in school without any obstacles, by providing them with the necessary documents like Aadhaar cards. | 0.804"
,,,,,,41670 | To enroll Anshika in school by obtaining an Aadhar card | 0.6903
,,,,,,41672 | To generate Aadhaar cards for children by correcting their date of birth | 0.6698
,,,,,,"41684 | To help children in Shankarpur village get Aadhar cards and enroll in school, addressing the issue of lack of identification and access to education | 0.8188"
,,,,,,40691 | To enroll children in school by obtaining Aadhar cards through community efforts | 0.9211
,,,,,,40692 | To enroll children in school who were unable to do so due to lack of Aadhaar cards | 0.891
,,,,,,"40697 | To facilitate the creation of Aadhar cards and birth certificates for underprivileged children, enabling them to access essential government services and education | 0.7841"
,,,,,,40701 | To improve education in Bariyarpur Majhi Tola by providing Aadhar cards and residential addresses to children and enrolling them in school | 0.713
,,,,,,40722 | To enroll a child in school by creating awareness about the importance of education among parents and obtaining necessary documents such as date of birth and Aadhar card | 0.7978
,,,,,,40731 | To enroll children in school by registering them for Aadhaar cards and addressing the issue of non-enrollment due to lack of necessary documents | 0.8604
,,,,,,40802 | To enroll children in school by obtaining necessary documents such as birth certificates and Aadhar cards | 0.8352
,,,,,,40777 | To help Puja Kumari get enrolled in school by correcting her Aadhaar card | 0.7123
,,,,,,40830 | To provide Aadhaar cards for children to enroll in school | 0.8493
,,,,,,"40783 | To correct errors in Aadhaar cards and enroll children in school, ensuring they receive necessary facilities and benefits | 0.8182"
,,,,,,"40786 | To increase school enrolment by assisting parents in obtaining Aadhaar cards for their children, thus addressing the issue of incomplete documents | 0.8237"
,,,,,,40787 | To enroll children in school by correcting their Aadhar cards | 0.869
,,,,,,40870 | To resolve the issue of children not having Aadhaar cards and facilitate their admission to government schools | 0.897
,,,,,,40872 | To facilitate the enrollment of children in school by obtaining Aadhaar cards for those without them | 0.8501
,,,,,,40874 | To correct the date of birth in the Aadhaar card and enroll children in government schools | 0.7338
,,,,,,40877 | To get an Aadhar card made and enroll in school | 0.8116
,,,,,,40883 | To improve education by enrolling students with Aadhaar cards | 0.8145
,,,,,,40887 | To enroll 22 children in school who did not have Aadhaar cards and were not enrolled in school due to various reasons | 0.8763
,,,,,,40968 | To help children get enrolled in school by making their Aadhar cards | 0.8858
,,,,,,40974 | To ensure every student has an Aadhaar card for educational benefits | 0.792
,,,,,,40986 | To help Suman Kumari get her Aadhar card made and enroll her in school | 0.6532
,,,,,,"40992 | To enroll children in school by obtaining Aadhar cards for them, addressing the issue of parents being less educated and busy with labor work | 0.8671"
,,,,,,40996 | To ensure all children have Aadhar cards for school enrollment | 0.8823
,,,,,,40997 | To enroll four children in Primary School Pandey Prasav by making their Aadhar cards | 0.8055
,,,,,,41011 | To solve the problem of delay in enrollment due to lack of Aadhar card | 0.7324
,,,,,,41017 | To ensure Nasir's school enrollment by correcting his Aadhaar card | 0.7248
,,,,,,41022 | To improve education by enrolling children in school through Aadhaar card registration | 0.854
,,,,,,"41024 | To facilitate the creation of Aadhaar cards for children in Majhauliya Panchayat, ensuring they receive benefits and access to education | 0.7514"
,,,,,,41026 | To ensure all children in Dubaha village have Aadhaar cards to access education and government benefits | 0.7552
,,,,,,"28574 | To facilitate the registration of Aadhaar cards for children in the community, addressing the issue of many children lacking this essential document | 0.7591"
,,,,,,41036 | To improve education by facilitating Aadhar card enrollment for students | 0.8113
,,,,,,41040 | To create awareness about the importance of Aadhar Card and Birth Certificate in the community | 0.6723
,,,,,,41053 | To help a child get an Aadhar card and enroll in school | 0.8515
,,,,,,"41057 | To improve education by facilitating the creation of birth certificates and Aadhaar cards for underprivileged children, enabling their enrollment in schools. | 0.7742"
,,,,,,41067 | To enroll Supriya Kumari in school by correcting errors in her Aadhaar card | 0.6606
,,,,,,41075 | To ensure children receive government scheme benefits by correcting errors in their Aadhaar cards | 0.7047
,,,,,,41086 | To solve the problem of Aadhar card enrollment for school students | 0.8384
,,,,,,41087 | To enroll in school by obtaining an Aadhar card through block and district level efforts | 0.8339
,,,,,,41092 | To solve the problem of admission being denied in 6 colleges due to lack of Aadhaar card | 0.7942
,,,,,,28471 | To enroll Soni Kumari in school despite the loss of her Aadhar card | 0.6997
,,,,,,"41125 | To improve education by obtaining birth certificates and Aadhar cards for children, enabling them to enroll in higher secondary school | 0.8322"
,,,,,,"41129 | To improve education by ensuring children have birth certificates and Aadhar cards, enabling them to enroll in school | 0.8603"
,,,,,,41133 | To improve education in Bihar by helping a girl get admission in class 9 despite a wrong date of birth in her Aadhar card | 0.6858
,,,,,,41161 | To help children without birth certificates or Aadhaar cards enroll in school by assisting them in obtaining these essential documents | 0.7802
,,,,,,41174 | To create Aadhaar cards for children in Mohaniya village to enable their enrollment in school | 0.8213
,,,,,,"41180 | To improve access to government schemes for children in Kaimur, Bihar, by obtaining Aadhaar cards and birth certificates | 0.7053"
,,,,,,41186 | To get Soni Kumari enrolled in school by obtaining her Aadhar card | 0.6765
,,,,,,41187 | To improve education in rural Bihar by addressing the issue of non-enrolment due to lack of Aadhaar cards | 0.8036
,,,,,,"41211 | To ensure children in Deoria village have Aadhaar cards, enabling them to enroll in school | 0.8206"
,,,,,,41216 | To help children in the village of Dehliya get admission in school by obtaining Aadhaar cards | 0.797
,,,,,,41218 | To help children enroll in school by correcting their Aadhar cards | 0.8638
,,,,,,41220 | To help a girl get admitted to school by assisting with her Aadhar card issue | 0.7757
,,,,,,41221 | To enroll Ayush Kumar in school by getting his Aadhar card made | 0.6842
,,,,,,41222 | To help Munni Kumari get admitted to school by correcting her Aadhar card | 0.682
,,,,,,41231 | To organize a camp for Aadhar card creation and facilitate school admissions for underprivileged children | 0.8154
,,,,,,41236 | To create Aadhar cards for children to enroll them in school and increase the number of children attending school | 0.8747
,,,,,,"41240 | To solve the problem of children not having Aadhaar cards, which was hindering their school enrollment | 0.8905"
,,,,,,41243 | To help students enroll in school despite errors in their date of birth on Aadhar cards | 0.7692
,,,,,,41278 | To address the issue of parents not being aware of the importance of birth certificates and Aadhaar cards for their children | 0.7252
,,,,,,"41282 | To spread awareness about the importance of birth certificates and Aadhaar cards in the community, ensuring timely enrollment of children in schools | 0.8142"
,,,,,,41291 | To correct Aadhar card details for better access to government schemes and education | 0.684
,,,,,,41292 | To solve the problem of dropping out of school after eighth grade due to issues with Aadhar cards | 0.8082
,,,,,,40535 | To help Sonu Kumar get enrolled in a government school by obtaining his birth certificate and Aadhaar card | 0.6724
,,,,,,40539 | To ensure Ankit Kumar's education is not disrupted due to lack of Aadhar card | 0.7876
,,,,,,41319 | To ensure children can attend school by correcting errors in their Aadhaar cards | 0.8166
,,,,,,41327 | To improve education in Katra Kalaa by addressing the issue of lack of Aadhaar cards for children | 0.7766
,,,,,,41340 | To improve school admission by addressing the issue of lack of Aadhar Card | 0.8647
,,,,,,"41341 | To help students who were expelled from school due to lack of Aadhar card registration, by guiding them through the registration process and providing necessary support. | 0.6877"
,,,,,,"41352 | To enroll children in school by obtaining Aadhar cards for their parents, addressing the issue of lack of education due to poverty and misunderstanding of its importance | 0.892"
,,,,,,41357 | To increase school enrollment by resolving Aadhar card issues | 0.8616
,,,,,,41358 | To increase school enrollment by facilitating Aadhar card creation for children | 0.8904
,,,,,,41359 | To resolve the issue of children not being able to enroll in school due to lack of Aadhar Card | 0.9186
,,,,,,41386 | To correct the age in Aadhar card for education purposes | 0.6998
,,,,,,41432 | To enroll children in school by obtaining Aadhaar cards and understanding the importance of education | 0.8475
,,,,,,41435 | To get Chandan Kumar enrolled in school by making his Aadhar card | 0.6615
,,,,,,41436 | To enroll Kush Kumar in school despite lack of Aadhar card | 0.6891
,,,,,,41437 | To get Rimjhim Kumari an Aadhaar card and enrolled in school | 0.7293
,,,,,,"41441 | To help parents obtain Aadhar cards and birth certificates for their children, enabling them to enroll in school and access ration | 0.8246"
,,,,,,41454 | To ensure children can get enrolled in school by correcting errors in their Aadhaar cards | 0.8227
,,,,,,41459 | To enroll children in school who were unable to do so due to lack of Aadhaar | 0.8394
,,,,,,41461 | To solve the problem of Poonam Kumari not having an Aadhar card and not being able to attend school | 0.7406
,,,,,,41462 | To correct the date of birth in Aadhar cards of children to enable their admission in school | 0.7776
,,,,,,41465 | To enroll children in government schools by obtaining Aadhar cards | 0.8773
,,,,,,"41470 | To enroll children in school by obtaining Aadhar cards, ensuring access to government schemes and benefits | 0.8731"
,,,,,,41487 | To enroll children in school by obtaining birth certificates and Aadhar cards | 0.8628
,,,,,,"41509 | To help children in the village get their Aadhar cards made, which was necessary for their school admission | 0.8571"
,,,,,,"41510 | To enroll children in school by creating Aadhaar cards for them, addressing the issue of non-enrollment due to lack of Aadhaar cards | 0.8758"
,,,,,,"41511 | To facilitate the creation of Aadhar cards and birth certificates for children in rural areas, enabling them to access education and government benefits | 0.8078"
,,,,,,"41512 | To generate Aadhar cards for school children who lacked them due to missing date of birth information, thereby enabling their school enrollment. | 0.7924"
,,,,,,"41517 | To assist parents in obtaining Aadhar cards and birth certificates for their children, enabling them to enroll in schools and receive rations. | 0.7046"
,,,,,,41519 | To arrange birth certificates and Aadhar cards for children in the community | 0.738
,,,,,,41520 | To create Aadhar cards for village residents who lacked birth certificates | 0.6849
,,,,,,41521 | To make an Aadhar card for a girl who was unable to go to school due to lack of Aadhar card | 0.7941
,,,,,,"41534 | To improve school enrollment by correcting Aadhaar cards for children in Maha Dalit Tola, addressing the issue of lack of awareness and ensuring access to education | 0.8233"
,,,,,,41536 | To get Manvi Kumari enrolled in school by correcting her Aadhaar card | 0.6708
,,,,,,41541 | To increase school enrolment by assisting parents in obtaining Aadhaar cards for their children | 0.8097
,,,,,,41546 | To create Aadhaar cards for children and enroll them in school | 0.8273
,,,,,,48900 | To enroll children in school who were deprived of education due to lack of Aadhaar and birth certificate | 0.8283
,,,,,,"48904 | To ensure Ruby Devi's children receive an education by obtaining necessary documents, specifically Aadhaar cards, and enrolling them in school. | 0.6714"
,,,,,,48891 | To help children get Aadhar cards so they can attend school | 0.8596
,,,,,,"48930 | To improve student enrollment by facilitating Aadhaar card registration, ensuring children can access their rights and be identified. | 0.7751"
,,,,,,48942 | To improve school attendance by facilitating Aadhar registration for school kids | 0.8398
,,,,,,48947 | To help Anita Kumari get admission in school despite mistakes in her Aadhar card | 0.6967
,,,,,,48970 | To help a child get an Aadhar card and enroll in school | 0.8515
,,,,,,"48980 | To ensure Rani Kumari gets enrolled in school by obtaining an Aadhar card, which was the primary hindrance to her education | 0.7185"
,,,,,,48983 | To resolve Aadhar card errors and increase school enrollment | 0.8125
,,,,,,48997 | To empower the community by providing access to education and essential documents like Aadhaar cards | 0.6601
,,,,,,"48999 | To enroll children in school by obtaining Aadhar cards for those who lacked them, addressing the issue of poverty and lack of awareness | 0.8986"
,,,,,,49006 | To help children in Sangapur village get admission in school by obtaining Aadhar cards and birth certificates | 0.7674
,,,,,,49012 | To help a child get an Aadhar card and enroll in school by providing necessary documentation and support | 0.8372
,,,,,,49015 | To help children get enrolled in school by obtaining birth certificates and Aadhar cards | 0.8617
,,,,,,"49016 | To facilitate school enrollment by obtaining Aadhar cards for children, addressing the issue of lack of identification and access to education | 0.8946"
,,,,,,49022 | To help children without birth certificates or Aadhar cards gain access to education by assisting their parents in obtaining these documents and enrolling them in school. | 0.7885
,,,,,,49042 | To correct Aadhar cards of children and enroll them in Anganwadi | 0.7505
,,,,,,3933 | To address the lack of information in education by enrolling children in school and providing Aadhaar cards | 0.8674
,,,,,,6471 | To improve education by creating awareness among women about its importance and making Aadhar cards for children | 0.7264
,,,,,,28709 | To raise awareness about the importance of Aadhaar cards for children and to encourage parents to register their children | 0.7315
,,,,,,4284 | To enroll children in school and provide them with government facilities by obtaining Aadhaar cards | 0.8316
,,,,,,"16452 | To enroll girls in school who were not attending due to lack of Aadhaar cards, by educating parents on the importance of education and providing support for Aadhaar card creation. | 0.8043"
,,,,,,28959 | To help Shivani Kumari get her Aadhar card made so she can be enrolled in school | 0.6565
,,,,,,6115 | To ensure all children can enroll in school by obtaining Aadhaar cards with the help of ward number 8 | 0.8095
,,,,,,28758 | To empower girls through education by addressing the issue of lack of date of birth and Aadhaar card | 0.6988
,,,,,,"7374 | To support and empower education in the community by addressing the issue of children not attending school due to work and ensuring they receive the necessary documentation, such as Aadhaar cards, to enroll in school. | 0.7316"
,,,,,,"28766 | To empower children by obtaining Aadhaar cards for them, thereby providing them with a legal identity and access to various benefits and services | 0.6914"
,,,,,,28967 | To help Rakhi Kumari get admission in class 9th despite discrepancy in her Aadhaar card | 0.6549
,,,,,,29442 | To help parents get their daughter's name corrected in the Aadhaar card so that she can be enrolled in school. | 0.6646
,,,,,,"16595 | To improve education by ensuring all girls have an Aadhar card, which is necessary for school admission | 0.8044"
,,,,,,10087 | To improve education by enrolling children in school through Aadhar card registration | 0.8881
,,,,,,15041 | To get an Aadhar card for the child | 0.7567
,,,,,,18236 | To address the issue of wrong date of birth in Aadhar cards affecting children's access to higher education | 0.7524
,,,,,,15036 | To ensure girls' education is not disrupted due to lack of Aadhaar card | 0.8533
,,,,,,29142 | To help a student get his school money by correcting his Aadhar card | 0.722
,,,,,,29181 | To create awareness about the importance of education and the need for Aadhar cards and birth certificates for school enrollment | 0.8174
,,,,,,15062 | To facilitate school enrollment by assisting parents in obtaining Aadhaar cards for their children | 0.8323
,,,,,,28786 | To help a teenage girl get admission in Class 9 by correcting her Aadhaar card | 0.7445
,,,,,,10383 | To ensure all students have their Aadhaar cards made to access educational benefits | 0.8005
,,,,,,15128 | To help a child enroll in school by correcting the wrong age on their Aadhaar card | 0.8009
,,,,,,28990 | To help Abhijeet Kumar get his Aadhar card made so he can receive benefits in school | 0.7112
,,,,,,28991 | To help Aryan Kumar get an Aadhar card to benefit from government school | 0.695
,,,,,,29457 | To educate children about the importance of having an Aadhar card and to help them obtain one | 0.8285
,,,,,,18199 | To address the issue of children being unable to access higher education due to poverty and errors in important documents like Aadhar cards | 0.8155
,,,,,,"29184 | To help a 3-year-old girl get her Aadhaar card made, which was previously not possible due to her age. | 0.6635"
,,,,,,"15051 | To enroll a girl in school by obtaining an Aadhar card, as lack of Aadhar card was a barrier to her education | 0.7995"
,,,,,,15058 | To help Komal Kumari continue her education by obtaining an Aadhar card | 0.6553
,,,,,,4090 | To motivate parents to get Aadhar cards made for their children | 0.7439
,,,,,,15090 | To address the issue of Anish not getting enrolled in class six due to the lack of an Aadhar card by facilitating the creation of the necessary documentation | 0.6796
,,,,,,5720 | To solve the problem of Aadhar Card among all people | 0.6839
,,,,,,16788 | To improve access to Aadhar cards for children without birth certificates | 0.787
,,,,,,15123 | To help underprivileged children obtain necessary documents like Aadhar cards and birth certificates to enroll in school | 0.8008
,,,,,,15171 | To solve the problem of Aadhar card blockage due to non-production of birth certificate | 0.6541
,,,,,,"28997 | To improve access to education for children in rural Bihar by facilitating the creation of birth certificates and Aadhar cards, thereby enabling them to enroll in school. | 0.8"
,,,,,,15316 | To facilitate the admission of children into school by obtaining necessary documents such as birth certificates and Aadhar cards in a timely manner | 0.7937
,,,,,,7653 | To enroll children in school by obtaining Aadhar cards for them | 0.8955
,,,,,,15116 | To help Samta Kumari obtain an Aadhar card and enroll in school despite her family's financial struggles | 0.6806
,,,,,,20389 | To correct the Aadhar card details of students | 0.6947
,,,,,,4251 | To enroll children in school by obtaining Aadhaar cards for them | 0.855
,,,,,,"4288 | To help women obtain birth certificates and Aadhaar cards, enabling them to enroll their children in school | 0.762"
,,,,,,12703 | To educate daughters and get Aadhar cards made | 0.7566
,,,,,,19715 | To solve the problem of children not having Aadhaar cards | 0.8442
,,,,,,29209 | To help children enroll in school by obtaining their Aadhar cards | 0.8891
,,,,,,15282 | To enroll Sandhya Kumari in school by obtaining an Aadhaar card | 0.6994
,,,,,,15274 | To help a child get an Aadhar card so they can attend school | 0.8479
,,,,,,15275 | To facilitate school admission by helping parents obtain Aadhar cards for their children | 0.8543
,,,,,,15264 | To help a girl get her Aadhaar card made so she can be enrolled in school | 0.7466
,,,,,,29001 | To educate the community about the importance of Aadhaar cards for children and to help them get enrolled in school | 0.8098
,,,,,,15279 | To help Mala Kumari get admission in school by correcting her Aadhar card | 0.6708
,,,,,,15276 | To correct the address in the Aadhar card to enable school admission | 0.6986
,,,,,,29007 | To help children get admission in school by making Aadhar cards | 0.8746
,,,,,,29010 | To resolve the issue of children not being enrolled in school due to Aadhaar card problems | 0.9011
,,,,,,"15337 | To enroll a girl in school by obtaining an Aadhar card, which was a requirement for admission | 0.7662"
,,,,,,15360 | To ensure Gudiya Kumari gets enrolled in school by obtaining an Aadhar card | 0.6984
,,,,,,29011 | To improve school attendance by addressing the issue of lack of Aadhar cards | 0.8703
,,,,,,28843 | To increase enrollment by raising awareness about the importance of birth certificates and Aadhar cards for education | 0.7817
,,,,,,4030 | To get Aadhar and birth certificates made for 3 girls and enroll them in school | 0.7258
,,,,,,5391 | To help girls obtain Aadhaar cards and encourage their education | 0.7316
,,,,,,28848 | To get the Aadhar card made for her child to enable enrollment in school | 0.819
,,,,,,28849 | To solve the problem of not being enrolled in school due to lack of Aadhar card | 0.8688
,,,,,,3893 | To raise awareness about the importance of birth certificates and Aadhar cards for education and to facilitate their creation for children in the community | 0.7671
,,,,,,28850 | To improve education by helping people get their Aadhar cards made | 0.7856
,,,,,,28851 | To increase Aadhar card enrollment by addressing the issue of not having an Aadhar card | 0.7203
,,,,,,28852 | To get an Aadhar card made | 0.6709
,,,,,,29015 | To improve education by creating necessary documents like Aadhar cards and birth certificates for children in Saraya village | 0.7247
,,,,,,29016 | To improve education by spreading awareness about the importance of Aadhar cards and encouraging regular school attendance | 0.8082
,,,,,,"29023 | To ensure every child in the village has an Aadhar card, which is essential for accessing school benefits | 0.8421"
,,,,,,29024 | To help Pooja Kumari get an Aadhar card to receive benefits from the school | 0.703
,,,,,,"17684 | To facilitate school admission by ensuring all children have an Aadhaar card, addressing the issue of lack of identification documents | 0.8671"
,,,,,,29026 | To help girls get government benefits in school by obtaining Aadhar cards | 0.7593
,,,,,,28885 | To ensure Gudiya Kumari is not expelled from school due to lack of an Aadhaar card | 0.7386
,,,,,,4119 | To help 9 children get admitted to school by creating their Aadhar cards | 0.854
,,,,,,4198 | To empower women by helping them create Aadhar cards and enroll their children in school | 0.7598
,,,,,,11475 | To educate the children of Tarachandi and secure the future of girls by enrolling them in school and making their Aadhar cards | 0.7319
,,,,,,"16957 | To facilitate Aadhar card enrollment for underprivileged children, addressing the issue of lack of identification and access to education | 0.8653"
,,,,,,28892 | To help a girl enroll in school by getting her Aadhaar card updated | 0.7715
,,,,,,15219 | To help a child get admission in school by obtaining an Aadhar card and birth certificate | 0.8022
,,,,,,15273 | To facilitate school enrollment by assisting children and parents in obtaining Aadhar cards | 0.8786
,,,,,,19829 | To ensure accurate identification and enrollment of children in school by correcting their names in the Aadhar card | 0.7843
,,,,,,"19878 | To help a girl who had dropped out of school due to her mother's absence and lack of Aadhaar card, by organizing an education chaupal and facilitating her admission back into school | 0.6714"
,,,,,,"4250 | To provide Aadhaar related information and help in getting Aadhaar made for children, and to enroll them in school | 0.7551"
,,,,,,20754 | To improve education in Sariya Gaanv by addressing the issue of enrollment due to Aadhar card problems | 0.7597
,,,,,,"29307 | To increase awareness about the importance of education and essential documents like Aadhaar cards and birth certificates, and to help children access these services, enabling them to attend school regularly. | 0.7496"
,,,,,,4116 | To help children get their Aadhar cards corrected and enrolled in school | 0.8622
,,,,,,3965 | To facilitate school admission for children without Aadhar cards by creating the necessary documents and providing support to their parents. | 0.8207
,,,,,,"3921 | To enroll children in school by obtaining Aadhar cards, ensuring access to education and government facilities | 0.8841"
,,,,,,3998 | To improve school enrollment by addressing the issue of missing date of birth in TC and Aadhar cards | 0.7812
,,,,,,3932 | To help children get enrolled and receive government benefits by making Aadhaar cards | 0.7739
,,,,,,15758 | To ensure Sandesh Kumar can attend school regularly by obtaining an Aadhar card | 0.7004
,,,,,,20962 | To correct names in Aadhar cards to enable children to get admitted to school and receive education | 0.8023
,,,,,,15196 | To enroll Durga Kumari in school by making her Aadhar card | 0.67
,,,,,,15359 | To enable children to attend school by obtaining an Aadhar card | 0.8851
,,,,,,4257 | To facilitate the creation of Aadhaar cards for children in the community by addressing the issue of non-residence status | 0.7387
,,,,,,28427 | To facilitate school admission and government scheme benefits by generating Aadhar cards for students | 0.818
,,,,,,"28429 | To facilitate school admission by creating Aadhaar cards for villagers, particularly focusing on the benefits of government schemes and the importance of Aadhaar cards for educational purposes. | 0.7505"
,,,,,,28430 | To improve Aadhar card enrollment in the community by providing information on where and how to get the Aadhar card made | 0.7091
,,,,,,28460 | To enroll children in school who were unable to do so due to lack of Aadhaar card | 0.9001
,,,,,,28473 | To improve education by enrolling children in school through Aadhar card registration | 0.8881
,,,,,,29271 | To help children get Aadhar cards so they can get admission to school | 0.8685
,,,,,,"29412 | To solve the problem of Shilpi Kumari, a 9th-grade student, who was unable to continue her studies due to the lack of an Aadhar card | 0.69"
,,,,,,29411 | To help Shobha Kumari correct her Aadhaar card and enroll in school for further education | 0.703
,,,,,,"29413 | To help Suman, a student who dropped out of school due to not having an Aadhar card, by facilitating the creation of her Aadhar card and encouraging her to return to school | 0.6508"
,,,,,,29444 | To help Ranju Kumari get her Aadhaar card made and continue her education | 0.6631
,,,,,,29441 | To help the girl get enrolled in school by correcting her father's name in the Aadhaar card | 0.7023
,,,,,,29506 | To help Luv Kumar get an Aadhaar card for school enrollment by informing his parents about its importance and facilitating the process with Vikas Mitra | 0.6884
,,,,,,29511 | To help Madhavi Kumari get an Aadhar card and receive government benefits from school | 0.6646
,,,,,,32206 | To improve education in the community by encouraging parents to obtain birth certificates and Aadhaar cards for their children | 0.7638
,,,,,,29707 | To improve education by ensuring children have Aadhar cards and attend school regularly | 0.8638
,,,,,,34466 | To improve education in Rohtas by addressing the issue of disruption in education due to illness and lack of Aadhaar cards | 0.7233
,,,,,,"30968 | To improve education by helping students obtain Aadhaar cards, which are required for school enrollment | 0.8315"
,,,,,,"30858 | To address the issue of children dropping out of school due to lack of Aadhaar card and date of birth, and to promote education as a means to prevent child labour and child marriage | 0.8022"
,,,,,,31774 | To ensure all children have Aadhar cards and birth certificates to facilitate their education | 0.8311
,,,,,,32594 | To help two teenage girls get admission in school by correcting their Aadhar card names | 0.764
,,,,,,40497 | To enroll 17 children without Aadhaar cards in school and ensure they receive education | 0.8676
,,,,,,40397 | To enroll children in school and provide them with necessary documents like Aadhar card and birth certificate | 0.8244
,,,,,,32178 | To enable children to attend school by obtaining necessary documents such as birth certificates and Aadhaar cards | 0.7886
,,,,,,38360 | To help Sudha Kumari get enrolled in school by obtaining her Aadhar card | 0.6818
,,,,,,40468 | To improve regular school attendance by addressing the issue of missing Aadhaar cards | 0.8194
,,,,,,29512 | To help Ankush Kumar get an Aadhar card to enroll in school and avail government benefits | 0.6928
,,,,,,"30869 | To ensure all children have access to education by facilitating the acquisition of Aadhaar cards, which are necessary for school admission | 0.8582"
,,,,,,31045 | To increase school enrollment by addressing the issue of Aadhar card requirements | 0.8747
